,Name,Album,Artist,Url
0,Doxy,american swinging in paris,Phil Woods,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
1,The Foxy Song,Nightmares,Skyfixing,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
2,Doxi,Doxi,OG Steever,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
3,Candy,Broken Silence,Foxy Brown,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
4,I Can't,Chyna Doll,Foxy Brown,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
5,Killin' It,Foxy Shazam,Foxy Shazam,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
6,Unstoppable,Foxy Shazam,Foxy Shazam,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
7,Intro / Bombs Away,Foxy Shazam,Foxy Shazam,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
8,Doxy - RVG Remaster,Bags' Groove (Rudy Van Gelder Remaster),Miles Davis,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
9,Foxy Fakeout,Zootopia (Original Motion Picture Soundtrack),Michael Giacchino,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
10,Doxy,The Best Of Miles Davis,Miles Davis,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
11,Helmut Lang,Helmut Lang,Letoa,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
12,Doxy,Both Sides Of Midnight,Dexter Gordon,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
13,A Dangerous Man,Introducing,Foxy Shazam,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
14,Foxy,Foxy,Of Vizions,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
15,Doxy,"The Argo, Verve & Emarcy Small Group Sessions",Buddy Rich,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
16,Doxy,Doxy,Fat Cats Jazz Band,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
17,Dixie,"1949-1953, Vol. 3",Ray Anthony & His Orchestra,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
18,Dexy,Skeng,Afourteen,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
19,FOXY,FOXY,Da Vosk Docta,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
20,Fix Up,Fix Up,FELIXCW,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
21,FOXY,MAX PLEASURE,Da Vosk Docta,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
22,DAISHO,DAISHO,Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
23,comfy,comfy,ST. NIKLAS,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
24,Atomic Ride,Atomic Ride,Foxxy Dekay,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
25,Doux-Amer,Doki Doki Blue Skies (Original Game Soundtrack),Blue Dissonance Development,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
26,Coming Home,Coming Home,Dexys,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
27,FROM BELOW,"THE SUMMONER, Pt. 1",Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
28,Doxy,Sonny Rollins's Finest Hour,Sonny Rollins,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
29,Connect,Foxy Shazam,Foxy Shazam,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
30,Fireworks,Dark Blue Night,Foxy Shazam,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
31,Doxy (Sonny Rollins),Echo Jazz Trio,Echo Jazz Trio,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
32,Doxy - Parts 1 & 2,Cal Tjader's Greatest Hits,Cal Tjader,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
33,Doxy,Soul Bird: Whiffenpoof,Cal Tjader,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
34,Tee,Tee,DOXY,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
35,Cloud Rider,Dark Blue Night,Foxy Shazam,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
36,Man In Bloom,Dark Blue Night,Foxy Shazam,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
37,Culpable,Torre de Control,D.OZi,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
38,Foxy Dancing,Foxy Dancing,Various Artists,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
39,What Else Can I Do,Here They Come,FOXY MOJO,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
